timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448850351,0.5757978723404256,0.8095712861415753,866,812,866,882,1504,1003,0,0,0,0,0,0,0,1
1612448850403,0.574468085106383,0.8075772681954138,864,810,864,881,1504,1003,0,0,0,0,0,0,0,1
1612448850457,0.5498670212765957,0.8075772681954138,827,810,827,881,1504,1003,0,0,0,0,0,0,0,1
1612448850509,0.538563829787234,0.80259222333001,810,805,810,876,1504,1003,0,0,0,0,0,0,0,1
1612448850560,0.538563829787234,0.80259222333001,810,805,810,876,1504,1003,0,0,0,0,0,0,0,1
1612448850610,0.5398936170212766,0.8035892323030908,812,806,812,876,1504,1003,0,0,0,0,0,0,0,1
1612448850662,0.5452127659574468,0.806580259222333,820,809,820,880,1504,1003,0,0,0,0,0,0,0,1
1612448850713,0.5498670212765957,0.8085742771684945,827,811,827,882,1504,1003,0,0,0,0,0,0,0,1
1612448850764,0.5545212765957447,0.8115653040877367,834,814,834,884,1504,1003,0,0,0,0,0,0,0,1
1612448850816,0.5585106382978723,0.8115653040877367,840,814,840,885,1504,1003,0,0,0,0,0,0,0,1
1612448850868,0.569813829787234,0.8095712861415753,857,812,857,883,1504,1003,0,0,0,0,0,0,0,1
1612448850920,0.5704787234042553,0.8095712861415753,858,812,858,883,1504,1003,0,0,0,0,0,0,0,1
1612448850972,0.569813829787234,0.8095712861415753,857,812,857,882,1504,1003,0,0,0,0,0,0,0,1
1612448855653,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,0,1
1612448855828,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448855880,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,0,1
1612448855933,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448855994,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856046,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856106,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856158,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,0,1
1612448856213,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856273,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856328,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856381,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856433,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,0,1
1612448856483,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856536,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856599,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856652,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856706,0.42819148936170215,0.8035892323030908,644,806,644,877,1504,1003,0,0,0,0,0,0,0,1
1612448856759,0.43617021276595747,0.8005982053838484,656,803,656,874,1504,1003,0,0,0,0,0,0,0,1
1612448856813,0.488031914893617,0.7956131605184447,734,798,734,869,1504,1003,0,0,0,0,0,0,0,1
1612448856868,0.5079787234042553,0.7916251246261217,764,794,764,864,1504,1003,0,0,0,0,0,0,0,1
1612448856919,0.5179521276595744,0.7896311066799602,779,792,779,862,1504,1003,0,0,0,0,0,0,0,1
1612448856972,0.5372340425531915,0.7896311066799602,808,792,808,862,1504,1003,0,0,0,0,0,0,0,1
1612448857024,0.5598404255319149,0.7926221335992024,842,795,842,866,1504,1003,0,0,0,0,0,0,0,1
1612448857076,0.5651595744680851,0.7966101694915254,850,799,850,870,1504,1003,0,0,0,0,0,0,0,1
1612448857132,0.5658244680851063,0.7966101694915254,851,799,851,870,1504,1003,0,0,0,0,0,0,0,1
1612448857185,0.5651595744680851,0.8035892323030908,850,806,850,876,1504,1003,0,0,0,0,0,0,0,1
1612448857239,0.5651595744680851,0.8045862412761715,850,807,850,878,1504,1003,0,0,0,0,0,0,0,1
1612448857290,0.5651595744680851,0.806580259222333,850,809,850,880,1504,1003,0,0,0,0,0,0,0,1
1612448857350,0.5651595744680851,0.806580259222333,850,809,850,880,1504,1003,0,0,0,0,0,0,0,1
1612448856433,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,1,0,0,0,0,0,0,1
1612448856483,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
1612448856536,0.42486702127659576,0.8055832502492523,639,808,639,879,1504,1003,0,0,0,0,0,0,0,1
