timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448940398,0.3609375,0.5694444444444444,924,820,3307,1335,2560,1440,0,0,0,1,0,0,0,0
1612448940448,0.3609375,0.5694444444444444,924,820,3307,1335,2560,1440,0,0,0,1,0,0,0,0
1612448940499,0.3609375,0.5694444444444444,924,820,3306,1335,2560,1440,0,0,0,0,0,0,0,1
1612448940549,0.358203125,0.5694444444444444,917,820,3296,1335,2560,1440,0,0,0,0,0,0,0,1
1612448940600,0.35703125,0.5694444444444444,914,820,3291,1335,2560,1440,0,0,0,0,0,0,0,1
1612448940650,0.35703125,0.5694444444444444,914,820,3291,1335,2560,1440,0,0,0,0,0,0,0,1
1612448950008,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950089,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950140,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950191,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950242,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950293,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950343,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950394,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950445,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950495,0.34296875,0.5673611111111111,878,817,3238,1330,2560,1440,0,0,0,0,0,0,0,1
1612448950546,0.34375,0.5638888888888889,880,812,3241,1322,2560,1440,0,0,0,0,0,0,0,1
1612448950597,0.346875,0.5597222222222222,888,806,3252,1313,2560,1440,0,0,0,0,0,0,0,1
1612448950647,0.350390625,0.5652777777777778,897,814,3266,1325,2560,1440,0,0,0,0,0,0,0,1
1612448950698,0.35234375,0.5645833333333333,902,813,3273,1324,2560,1440,0,0,0,0,0,0,0,1
1612448950749,0.353125,0.5645833333333333,904,813,3277,1324,2560,1440,0,0,0,0,0,0,0,1
1612448950800,0.357421875,0.5638888888888889,915,812,3293,1323,2560,1440,0,0,0,0,0,0,0,1
1612448950851,0.36015625,0.5645833333333333,922,813,3304,1324,2560,1440,0,0,0,0,0,0,0,1
1612448950901,0.3625,0.5652777777777778,928,814,3313,1325,2560,1440,0,0,0,0,0,0,0,1
1612448950951,0.36640625,0.5659722222222222,938,815,3327,1327,2560,1440,0,0,0,0,0,0,0,1
1612448951002,0.36875,0.5666666666666667,944,816,3336,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951052,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951103,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951153,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951204,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951255,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951306,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951356,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951407,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951458,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951509,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951559,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951610,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951661,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951711,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951762,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951813,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951864,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951915,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448951965,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448952016,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448952066,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448952116,0.36953125,0.5666666666666667,946,816,3339,1328,2560,1440,0,0,0,0,0,0,0,1
1612448959321,0.341796875,0.5631944444444444,875,811,3233,1321,2560,1440,1,0,0,0,0,0,0,1
1612448959372,0.34453125,0.5680555555555555,882,818,3243,1331,2560,1440,0,0,0,1,0,0,0,0
1612448959471,0.35234375,0.575,902,828,3273,1346,2560,1440,0,0,0,0,0,0,0,1
1612448959521,0.352734375,0.5743055555555555,903,827,3275,1345,2560,1440,0,0,0,0,0,0,0,1
1612448959572,0.353125,0.5736111111111111,904,826,3277,1344,2560,1440,0,0,0,0,0,0,0,1
1612448959623,0.355078125,0.5722222222222222,909,824,3284,1340,2560,1440,0,0,0,0,0,0,0,1
1612448959674,0.3578125,0.5708333333333333,916,822,3295,1337,2560,1440,0,0,0,0,0,0,0,1
1612448959725,0.35859375,0.5701388888888889,918,821,3297,1336,2560,1440,0,0,0,0,0,0,0,1
1612448959775,0.35859375,0.5701388888888889,918,821,3297,1336,2560,1440,0,0,0,0,0,0,0,1
1612448959825,0.35859375,0.5701388888888889,918,821,3297,1336,2560,1440,0,0,0,0,0,0,0,1
1612448959876,0.358203125,0.5694444444444444,917,820,3296,1335,2560,1440,0,0,0,0,0,0,0,1
1612448959926,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448959977,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960028,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960129,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960179,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960230,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960281,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960332,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
1612448960382,0.3578125,0.5694444444444444,916,820,3295,1335,2560,1440,0,0,0,0,0,0,0,1
